root@eda-demo-control-plane:/# kubectl get crds
NAME                                                    CREATED AT
ipallocationpools.core.eda.nokia.com                    2025-11-24T13:40:12Z
ipinsubnetallocationpools.core.eda.nokia.com            2025-11-24T13:40:12Z
irbinterfaces.services.eda.nokia.com                    2025-11-24T13:47:14Z
irbinterfacestates.services.eda.nokia.com               2025-11-24T13:47:15Z
islpings.fabrics.eda.nokia.com                          2025-11-24T13:47:27Z
isls.fabrics.eda.nokia.com                              2025-11-24T13:47:27Z
islstates.fabrics.eda.nokia.com                         2025-11-24T13:47:27Z
issuers.cert-manager.io                                 2025-11-24T13:38:58Z
keychaindeployments.security.eda.nokia.com              2025-11-24T13:47:12Z
keychains.security.eda.nokia.com                        2025-11-24T13:47:12Z
l2advertisements.metallb.io                             2025-11-24T13:37:47Z
licenses.core.eda.nokia.com                             2025-11-24T13:40:12Z
lldpoverlays.topologies.eda.nokia.com                   2025-11-24T13:47:29Z
managementrouters.bootstrap.eda.nokia.com               2025-11-24T13:47:17Z
managementrouterstates.bootstrap.eda.nokia.com          2025-11-24T13:47:17Z
manifests.core.eda.nokia.com                            2025-11-24T13:40:12Z
memoryoverlays.components.eda.nokia.com                 2025-11-24T13:47:25Z
mirrorfilterdeployments.filters.eda.nokia.com           2025-11-24T13:47:13Z
mirrorfilters.filters.eda.nokia.com                     2025-11-24T13:47:13Z
mirrors.oam.eda.nokia.com                               2025-11-24T13:47:28Z
mirrorstates.oam.eda.nokia.com                          2025-11-24T13:47:28Z
monitoraggregatestates.components.eda.nokia.com         2025-11-24T13:47:25Z
monitoraggregatestates.system.eda.nokia.com             2025-11-24T13:47:31Z
monitors.components.eda.nokia.com                       2025-11-24T13:47:25Z
monitors.system.eda.nokia.com                           2025-11-24T13:47:31Z
monitorstates.components.eda.nokia.com                  2025-11-24T13:47:25Z
monitorstates.system.eda.nokia.com                      2025-11-24T13:47:31Z
namespaces.core.eda.nokia.com                           2025-11-24T13:40:12Z
nodeconfigs.core.eda.nokia.com                          2025-11-24T13:40:12Z
nodegroupdeployments.aaa.eda.nokia.com                  2025-11-24T13:47:32Z
nodegroups.aaa.eda.nokia.com                            2025-11-24T13:47:32Z
nodeprofiles.core.eda.nokia.com                         2025-11-24T13:40:13Z
nodesecurityprofiles.core.eda.nokia.com                 2025-11-24T13:40:13Z
nodeusers.core.eda.nokia.com                            2025-11-24T13:40:13Z
nodeuserstates.aaa.eda.nokia.com                        2025-11-24T13:47:32Z
ntpclients.timing.eda.nokia.com                         2025-11-24T13:47:09Z
ntpclientstates.timing.eda.nokia.com                    2025-11-24T13:47:09Z
orders.acme.cert-manager.io                             2025-11-24T13:38:58Z
pings.oam.eda.nokia.com                                 2025-11-24T13:47:28Z
policyattachments.qos.eda.nokia.com                     2025-11-24T13:47:24Z
policydeployments.qos.eda.nokia.com                     2025-11-24T13:47:24Z
policydeployments.routingpolicies.eda.nokia.com         2025-11-24T13:47:20Z
policys.routingpolicies.eda.nokia.com                   2025-11-24T13:47:20Z
powersupplies.components.eda.nokia.com                  2025-11-24T13:47:25Z
prefixsetdeployments.routingpolicies.eda.nokia.com      2025-11-24T13:47:20Z
prefixsets.routingpolicies.eda.nokia.com                2025-11-24T13:47:20Z
queues.qos.eda.nokia.com                                2025-11-24T13:47:24Z
registries.appstore.eda.nokia.com                       2025-11-24T13:40:13Z
resourcegroups.kpt.dev                                  2025-11-24T13:38:31Z
roles.core.eda.nokia.com                                2025-11-24T13:40:13Z
